x: 619.12, y: 445.99
x: 717.55, y: 375.24
x: 762.87, y: 343.53
x: 864.85, y: 266.58
x: 887.84, y: 221.5
x: 931.26, y: 155.26
x: 889.7, y: 140.21
x: 605.19, y: 199.98
x: 523.77, y: 227.78
x: 452.77, y: 246.04
x: 420.87, y: 224.51
x: 398.85, y: 218.43
x: 367.14, y: 239.31
x: 416.72, y: 257.07
x: 528.58, y: 209.08
x: 684.21, y: 187.04
x: 687.54, y: 214.6
x: 793.57, y: 201.78
x: 749.06, y: 174.26
x: 473.61, y: 198.58
x: 419.13, y: 249.73
x: 381.94, y: 295.29
x: 356.79, y: 383.0
x: 338.6, y: 420.15
x: 295.09, y: 453.71
x: 235.53, y: 458.58
x: 262.2, y: 460.12
x: 298.05, y: 427.5
x: 303.37, y: 341.67
x: 359.23, y: 319.59
x: 488.54, y: 308.08
x: 507.62, y: 310.65
x: 575.94, y: 314.89
x: 601.93, y: 258.98
x: 609.8, y: 167.35
x: 606.81, y: 151.08
x: 584.74, y: 172.9
x: 648.01, y: 154.41
x: 679.35, y: 193.99
x: 687.2, y: 201.78
x: 537.87, y: 439.72
x: 567.58, y: 397.6
x: 628.15, y: 319.67
x: 669.02, y: 255.48
x: 748.93, y: 160.64
x: 613.4, y: 153.77
x: 617.73, y: 164.18
x: 632.06, y: 177.06
x: 686.04, y: 168.05
x: 702.94, y: 150.41
x: 710.6, y: 172.14
x: 712.28, y: 152.2
x: 856.35, y: 154.98
x: 827.76, y: 192.85
x: 754.71, y: 186.01
x: 702.16, y: 191.26
x: 664.51, y: 256.09
x: 644.33, y: 307.58
x: 477.79, y: 383.21
x: 366.06, y: 425.41
x: 259.62, y: 446.18
x: 264.52, y: 414.16
x: 409.18, y: 357.99
x: 580.11, y: 289.83
x: 749.66, y: 205.3
x: 857.83, y: 149.65
x: 801.52, y: 165.1
x: 681.84, y: 187.91
x: 564.45, y: 197.28
x: 464.85, y: 217.32
x: 417.09, y: 189.77
x: 365.02, y: 213.09
x: 333.68, y: 263.73
x: 283.42, y: 233.81
x: 271.28, y: 306.33
x: 264.16, y: 328.95
x: 277.5, y: 351.46
x: 248.27, y: 343.91
x: 265.51, y: 357.29
x: 246.39, y: 333.13
x: 253.18, y: 382.8
x: 242.42, y: 395.1
x: 252.94, y: 366.56
x: 266.26, y: 369.01
x: 273.4, y: 391.2
x: 287.16, y: 378.44
x: 307.61, y: 367.37
x: 320.32, y: 365.43
x: 368.47, y: 354.01
x: 350.75, y: 348.74
x: 358.96, y: 340.82
x: 342.31, y: 336.24
x: 340.6, y: 289.35
x: 322.91, y: 287.94
x: 305.31, y: 277.0
x: 317.71, y: 290.29
x: 294.89, y: 277.65
x: 306.78, y: 294.93
x: 332.31, y: 300.63
x: 350.83, y: 289.8
x: 337.54, y: 289.9
x: 328.61, y: 272.5
x: 339.65, y: 274.45
x: 338.53, y: 236.33
x: 329.78, y: 225.78
x: 330.29, y: 190.33
x: 340.15, y: 181.88
x: 332.05, y: 157.33
x: 347.51, y: 173.17
x: 332.64, y: 173.57
x: 338.58, y: 161.38
x: 339.99, y: 160.31
x: 341.11, y: 173.2
x: 332.03, y: 147.84
x: 483.86, y: 323.61
x: 590.76, y: 451.63
x: 675.72, y: 407.72
x: 683.81, y: 409.76
x: 726.21, y: 288.38
x: 689.48, y: 250.39
x: 651.37, y: 181.53
x: 615.77, y: 197.01
x: 590.63, y: 205.47
x: 593.71, y: 232.21
x: 541.93, y: 211.19
x: 532.66, y: 216.8
x: 619.53, y: 197.98
x: 682.39, y: 172.82
x: 1133.17, y: 177.3
x: 1136.54, y: 254.04
x: 1123.8, y: 329.87
x: 1104.63, y: 353.96
x: 1054.2, y: 420.69
x: 1047.74, y: 451.89
x: 1004.12, y: 419.65
x: 975.7, y: 327.26
x: 966.47, y: 194.27
x: 1031.57, y: 141.0
x: 1030.12, y: 169.7
x: 899.24, y: 184.79
